title
ABG Operations Tech Radar
===
date
2022-07-01
===
quadrant,   alias
q1,         langlib
q2,         data
q3,         infra
q4,         techtools
===
quadrant,   title
q1,         Languages and frameworks
q2,         Data management
q3,         Infrastructure
q4,         Tools and Techniques
===
name,                       quadrant,      ring,   description
Java,                       langlib,       Adopt,  
Terraform,                  langlib,       Adopt,  
GoLang,                     langlib,       Hold, 
Python 3,                   langlib,       Adopt,  Python
Bash,                       langlib,       Adopt,
Lua,                        langlib,       Hold,

OracleDB,                   data,          Adopt,  
MsSQL,                      data,          Adopt,  
PostgreSQL,                 data,          Adopt,  
Clickhouse,                 data,          Adopt,  
Elasticsearch,              data,          Hold,

SonarQube,                  techtools,     Adopt,
Graphite,                   techtools,     Adopt,
VueJS,                      techtools,     Trial,
Librenms,                   techtools,     Adopt,
Nats,                       techtools,     Trial,
Commvault Simpana,          techtools,     Assess,
Solarwinds netflow,         techtools,     Assess,
SCCM,                       techtools,     Adopt,
Azure ARC,                  techtools,     Access,
ADFS,                       techtools,     Hold,
AzureAD,                    techtools,     Adopt,
AD,                         techtools,     Adopt,

Kubernetes,                 infra,         Hold,  
Consul,                     infra,         Hold,  
Vault,                      infra,         Hold,  
Hiera,                      infra,         Hold,  
Puppet,                     infra,         Hold,  
Docker,                     infra,         Adopt,  
Grafana,                    infra,         Hold,
Kibana,                     infra,         Hold,
Prometheus,                 infra,         Hold,
Zipkin,                     infra,         Hold,
Telegraf,                   infra,         Hold,
VMware,                     infra,         Hold,
Onedrive for business,      infra,         Adopt,
Sharepoint Online,          infra,         Trial,
Microsoft Teams,            infra,         Adopt,
Office 365,                 infra,         Adopt,
Windows 365,                infra,         Access,
Exchange 2019,              infra,         Adopt,
Exchange 2016,              infra,         Hold,
